name,tags,categories
coins-stack,cash|finance|financial|markets|exchange|trader|trading|transaction|payment|payroll|wages|income|pocket_money|allowance|savings|banking|gamble,money|currency|account|shopping|gaming
copy-code,clone|duplicate|multiple|codebase|source|raw|snippets|gists,text|development
copy-down,read|dictionary|booklet|library|code|version_control|git|repository|clone|download_all,development
copy-file-path,relative|location|multiple,files|development|text
copy-image,clone|duplicate|multiple|images|pictures|photos|album|collection|event|gallery,photography|text|multimedia|files|social|design|development
copy-text,clone|duplicate|multiple|texts|lines|drafts|script|plagiarism,text
copy-type,formatting|styling|rich_text|rtf|fonts|font_book|typography|collection|slab_serif|clone|duplicate|multiple|toolbar|button,text|tools|design
cow-head,milk|dairy|drink|diet|unpasturised|lactose|livestock|cattle|calf|bovine|farmyard|hoofs|hooved|mammal,animals|food-beverage
cow-udder-droplets,milk|dairy|drink|diet|unpasturised|lactose|livestock|cattle|calf|bovine|farmyard|hoofs|hooved|mammal,animals|food-beverage
crab,crustacean|shell|pinch|snap|crawl|sideways|ocean|marine_life|seabed|seaside|summer_holiday|beach|sand|water|bucket|fishing|catch|lobster|zodiac|astrology|star_sign|cancer|horoscope,animals
cricket-ball,bowler|batsman|batting|fielder|runs|wicket|innings|overs|score|umpire|spin|catch|bounce|ashes|summer,sports|gaming
cricket-wicket,bowler|ball|batsman|batting|fielder|runs|innings|overs|out|duck|score|umpire|spin|catch|bounce|ashes|summer,sports|gaming
cross-square,healthcare|first_aid_kit|paramedic|medkit|medikit|medpack|medicine|pharmacy|pharmaceutical|add|cross|box,medical|gaming
crosshair-2-dot,aim|target|scope|sight|reticule,gaming|cursors
crosshair-2,aim|target|scope|sight|reticule,gaming|cursors
crosshair-plus-dot,aim|target|scope|sight|reticule,gaming|cursors
crosshair-plus,aim|target|scope|sight|reticule,gaming|cursors
crosshair-square,aim|target|scope|sight|reticule,gaming|cursors|photography
cup-saucer,mug|hot|drink|cafe|tea,food-beverage
cup-to-go,coffee|roast|ground|blend|arabica|filter|instant|cafe|hot|drink|barista|fair_trade|packaging|disposable|recycling|cardboard|plastic|take_away,food-beverage
currency-square,finance|financial|markets|exchange|trader|trading|transaction|payment|symbol|scarab|toolbar|button,currency|money
desk-lamp,office|workstation|table|drawers|household|lighting|ambience|ambiance,furniture|home
diaper,nappy|absorbent|potty|newborn|childproof|children|infant|kids|toddler|mother|mum|family,people|home|shopping
dishwasher,kitchen|appliances|amenities|electric|cleaning|cycle|plates|glasses|cutlery|utensils,home|devices|travel
dollar-sign-circle,monetization|marketing|finance|financial|markets|exchange|trader|trading|transaction|payment|coin|usd,currency|money|shapes
dollar-sign-square,monetization|marketing|finance|financial|markets|exchange|trader|trading|transaction|payment|usd|toolbar|button,currency|money|shapes
doorbell-intercom,buzzer|speaker|call|service|summon|hospitality|hotel|accommodation|elevator|lift|ring|ding|sound|access|gate,buildings|home|travel|security
dress,skirt|womens|girls|female|ladies|store|sexy|classy|clothing|clothes|apparel|attire|outfit|fashion|formal|fancy|smart|refined|elegant|evening_wear|nightlife|club|party|occasion|gathering|wedding|tailored|thread|cotton|staps,shopping|social
egg-cup,boiled|soldiers|continental_breakfast|brunch|meal|morning,food-beverage
elephant-face,mammoth|mastodon|mammal|memory|remember|trunk|tusks|safari|savannah|wildlife|herbivore|herd|calf|dumbo|evernote,animals
elephant,mammoth|mastodon|mammal|memory|remember|trunk|tusks|safari_park|savannah|wildlife|herbivore|herd|calf|dumbo,animals
escalator-arrow-down-left,steps|stairs|staircase|conveyor_belt|conveyer|ground_floor|levels|signage|directions|diagonal,buildings|travel|arrows
escalator-arrow-up-right,steps|stairs|staircase|conveyor_belt|conveyer|top_floor|levels|signage|directions|diagonal,buildings|travel|arrows
euro-circle,monetization|marketing|finance|financial|markets|exchange|trader|trading|transaction|payment|coin,currency|money|shapes
euro-square,monetization|marketing|finance|financial|markets|exchange|trader|trading|transaction|payment|toolbar|button,currency|money|shapes
face-alien,extraterrestrial|life_form|outer_space|interplanetary|galactic|universe|area_51,science|emoji|gaming
fan-handheld,folding|cooler|airflow|waft|decoration|ornate|oriental|chinese|culture|wisdom|colors|spectrum|range|guide,tools|social|design
farm,farmland|ranch|acres|fields|harvest|silo|farmhouse|barn|door,buildings|maps|sustainability|animals|food-beverage
faucet,tap|spigot|water|drinking|fresh|source|pipes|plumbing|plumber,food-beverage|home|maps
feather-plus,quill|pen|write|writing|prose|inkwell|scribe|scroll|draft|new|add,text|social
feather-square,quill|pen|write|writing|prose|inkwell|scribe|scroll|draft|edit,text|social|shapes
feather-text,quill|pen|write|writing|prose|inkwell|scribe|scroll|draft|signature,text
flippers,snorkeling|scuba|submerge|freediving|diver|location|spot|gear|equipment|vacation|summer_holiday|seaside|beach|marine|ocean|depth|deep|underwater|aquatic|encounter|exploration|tourism,travel|maps
floor-plan,blueprint|property|real_estate|house|home|dwelling|living_space|rooms|doorway|area|measure|square_meter,buildings
floppy-disk-2,format|data|storage|capacity|megabytes|mb|label,files|devices
floppy-disk-rear,format|data|storage|capacity|megabytes|mb|label|back|reverse,files|devices
floppy-disk,format|data|storage|capacity|megabytes|mb|label,files|devices
floppy-disks-2,copy|format|data|storage|capacity|megabytes|mb|label,files|devices
floppy-disks-rear,copy|format|data|storage|capacity|megabytes|mb|label|back|reverse,files|devices
floppy-disks,copy|format|data|storage|capacity|megabytes|mb|label,files|devices
flower-lotus,water_lily|petals|plant|spring|bloom|blossom|flora|pond|aquatic|sacred|purity|longevity|culture|philosopy|sprituality|meditation|wellbeing|lifestyle,nature|seasons|sustainability
flower-pot,petals|houseplant|stem|spring|bloom|blossom|gardening|botanical|flora|florist,nature|seasons|home|gaming
flower-rose-single,roses|thorns|petals|plant|stem|leaves|spring|bloom|blossom|gardening|botanical|flora|florist|bouquet|bunch|gift|date|romance|romantic|valentines_day|special_occasion,nature|seasons|sustainability|home|social
flower-rose,roses|thorns|petals|plant|stem|leaves|spring|bloom|blossom|gardening|botanical|flora|florist|bouquet|bunch|gift|date|romance|romantic|valentines_day|special_occasion,nature|seasons|sustainability|home|social
flower-stem,petals|plant|leaves|spring|bloom|blossom|gardening|botanical|flora|florist|bouquet|bunch|gift|special_occasion,nature|seasons|sustainability|home|gaming
flower-tulip,petals|plant|stem|leaves|spring|bloom|blossom|gardening|botanical|flora|florist|bouquet|bunch|gift|romantic|special_occasion,nature|seasons|sustainability|home|gaming
football-goal,american|gridiron|posts|field|score|touchdown|pitch|team,sports|gaming
football-helmet,american|gridiron|touchdown|kick|pitch|team|cricket|protective_equipment|protection|padding|headgear|goal|score|bounce,sports|gaming
football,rugby|american|touchdown|kick|pitch|team|goal|score|bounce|super_bowl|nfl,sports|gaming
fork-knife-crossed,utensils|kitchenware|cutlery|culinary|cooking|cookery|cut|slice|eat|restaurant|meal|breakfast|brunch|lunch|dinner|supper,food-beverage|home|tools|travel|maps
fork-knife,utensils|kitchenware|cutlery|culinary|cooking|cookery|cut|slice|eat|restaurant|meal|breakfast|brunch|lunch|dinner|supper,food-beverage|home|tools|travel|maps
fox-face-tail,sly|wily|cunning|canine|mammal|bushy|furry|firefox,animals
frog-face,jump|hop|lilly_pad|pond_life|aquatic|amphibian|tadpole,animals
fruit,citrus|orange|grapefruit|lime|tomato|pomodoro_technique|productivity|work|egg_timer|timing|alarm|alert|olive|pitted|passion_fruit|guava|juice|squeeze|smoothie|tropical|sweet|bitter|snack|meal|lunch|ingredient|cooking|cookery|kitchen|cuisine|eating|healthy|nutrition|diet|fruit_machine|slots|gambling|jackpot,food-beverage|gaming|time|devices|home
garlic,flavor|flavour|spice|vegetable|ingredient|cooking|cookery|kitchen|cuisine|eating|nutrition|diet,food-beverage
gearbox-square,gears|gear_lever|gearstick|shift|speed|driving|driver|racing|racer|motor_sport|formula_one|formula_1|f1|car|vehicle|mechanical|clutch|ratio,sports|gaming
gearbox,gears|gear_lever|gearstick|shift|speed|driving|driver|racing|racer|motor_sport|formula_one|formula_1|f1|car|vehicle|mechanical|clutch|ratio,sports|gaming
gem-ring,diamond|crystal|ruby|rock|jewellery|price|special|present|gift|wedding|proposal|marriage|accessories,social
glasses-square,spectacles|eyesight|vision|reading|learning|education|academic|books|nerd|geek,accessibility|medical|shopping
glasses-sun,aviators|shades|sunglasses|summer_holiday|seaside|beachwear|vacation|accessories|fashion,shopping|travel
goal-net,score|football|futbol|soccer|ice_hockey|posts|crossbar|kick|pitch|penalty,sports|gaming
goblet-crack,glass|chalice|broken|break|smash|fragile|damaged|package|transit|shipping|postage,food-beverage|social|transportation|mail
goblet,glass|chalice|alcohol|drink|vineyard|winery|red|white|rose|dry|sparkling|spirits|cocktail|bar|party|nightclub|nightlife|sommelier|restaurant|dinner|meal,food-beverage|social
golf-driver,tee_off|driving_range|sand_wedge|pitching_wedge|course|hole_in_one|par|double_bogey|birdie|eagle|albatross|handicap|caddie|caddy|bunker|rough,sports|gaming
grapes,bunch|wine|vineyard|seedless|blackberry|blackberries|rasberry|rasberries|wild_berries|juice|squeeze|smoothie|sweet|snack|meal|lunch|eating|healthy|nutrition|diet|picked|fruit_machine|slots|gambling|jackpot,food-beverage
grid-lines-offset,guides,layout|design|tools
grid-lines,table|guides|number|pound|tic-tac-toe|noughts_and_crosses,layout|design|tools|maths|gaming
hairdryer,hairdrier|hairstyle|hairdresser|salon|styling|heat|amenities|electronics,home|travel|devices
hat-baseball,cap|hats|headwear|headgear|mens|boys|store|clothing|clothes|accessories|apparel|attire|fashion,shopping|sports
hat-beanie,bobble|wooly|woolly|winter|cold|headgear|apparel|fashion,shopping|seasons
hat-bowler,hats|headwear|headgear|gentleman|mens|boys|store|clothing|clothes|accessories|apparel|attire|outfit|fashion|formal|fancy_dress|costume|smart|classic|refined|elegant|evening|black_tie_event|occasion|gathering|vacation|summer_holiday|straw,shopping|social|travel
hat-chef,cooking|kitchen|restaurant,food-beverage
hat-hard,helmet|headgear|construction|protective|safety|builder,tools
hat-top,hats|headwear|headgear|gentleman|mens|boys|store|clothing|clothes|accessories|apparel|attire|outfit|fashion|formal|fancy_dress|costume|smart|classic|refined|elegant|evening|black_tie_event|occasion|wedding|groom|gathering,shopping|social
heading-circle,hospital|accident|emergency|helicopter_pad|helipad|help,medical|transportation|shapes
heading-square,h1|html|markup|markdown|toolbar|formatting|styling|typography|hospital|accident|emergency|help,text|tools|design|development|medical|shapes
hedgehog,porcupine|prickly|spiny|spiky|spikes|defences|defend|mammal|woodland|garden,animals
helmet-diving,submerge|diver|location|spot|gear|equipment|safety|sea|ocean|depth|deep|decompression|pressure|underwater|oxygen|o2|breathe|air|aquatic|encounter|exploration|discovery|observe|view|marine_life|shipwreck|tourism,science|travel|maps
hexagons-3,honeycomb|beeswax|cells|cluster|tessellation|pollen|pollinate,shapes|food-beverage
hexagons-7,honeycomb|beeswax|cells|cluster|tessellation|pollen|pollinate,shapes|food-beverage
high-heel,stiletto|platform|shoe|footwear|womens|girls|female|ladies|store|sexy|classy|clothing|clothes|apparel|attire|outfit|fashion|formal|fancy|refined|dressy|smart|elegant|evening|nightlife|club|party|occasion|gathering|leather,shopping|social
hockey-mask,ice_hockey|puck|goalkeeper|goalie|team|protective_equipment|protection|padding|headgear|face|winter_sports|horror|scary|scared|halloween|costume,sports|gaming
hockey,stick|ball|goalkeeper|goalie|team|protective_equipment|protection|face|winter_sports|horror|scary|scared|halloween|costume,sports|gaming
horse-head,donkey|pony|calf|filly|stallion|steed|mare|mammal|equestrian|horseback|ride|riding|racing|furlong|betting|gambling,animals|gaming
hot-dog,banger|wiener|wurst|jumbo|bun|meat|pork|fast_food|junk_food|snack|dish|restaurant|lunch|meal|savory|savoury|cookery|cooking|grilled|barbecue|barbeque|bbq,food-beverage
house-manor,mansion|country|property|real_estate|dwellings|living|rooms|door|chimneys|land|acres,buildings|travel|maps|home
house-off,property|real_estate|dwellings|living|rooms|door|automation|iot|disconnected|disabled|deactivated|unpowered,account|home|buildings
house-roof-off,property|real_estate|dwellings|living|rooms|door|automation|iot|disconnected|disabled|deactivated|unpowered,account|home|buildings
house-roof,property|real_estate|dwellings|living|rooms|door|thatch|snow,account|home|buildings
house,property|real_estate|dwellings|living|rooms|door,account|home|buildings
houses,homes|property|real_estate|dwellings|living|rooms|door,buildings
ice-hockey,stick|puck|ice_rink|skates|team|winter_sports,sports|gaming
ice-skate,skates|ice_rink|figure_skating|speed_skating|boots|shoes|footwear|winter,sports|seasons
igloo,ice_blocks|cold|freeze|frozen|winter|shelter|dome|eskimo,buildings|weather|seasons
indian-rupee-circle,finance|financial|markets|exchange|trader|trading|transaction|payment|coin|inr,currency|money|shapes
indian-rupee-square,finance|financial|markets|exchange|trader|trading|transaction|payment|inr|toolbar|button,currency|money|shapes
intercom,buzzer|speaker|voice|call|service|summon|hospitality|hotel|accommodation|sound|access|gate,buildings|home|travel|security
iron-off,do_not_iron|warning|instructions|clothes|clothing|apparel|attire,home|devices
iron,steam|flatten|straighten|clothes|clothing|apparel|attire|dry_cleaning|amenities,home|devices|travel
ironing-board,flatten|straighten|clothes|clothing|apparel|attire|dry_cleaning|amenities,home|furniture|travel
italic-square,oblique|emphasis|emphasize|toolbar|formatting|styling|plain_text|rich_text|rtf|typography|font|slab_serif|writing|writer|prose|content|markdown|markup,text|tools|design|development
jacket-sports,coat|man|mens|top|store|clothing|clothes|apparel|attire|fashion|thread|leather|casual|regular|warmth|winter|outdoors,shopping|sports
jacket,blazer|coat|suit|gentleman|mens|boys|top|store|clothing|clothes|accessories|apparel|attire|outfit|fashion|formal|dressy|dinner|uniform|smart|classic|refined|elegant|evening_wear|tuxedo|black_tie_event|special_occasion|wedding|groom|gathering|thread|tailored|regular|slim_fit|warmth,shopping|social
japanese-yen-circle,monetization|marketing|finance|financial|markets|exchange|trader|trading|transaction|payment|coin|jpy,currency|money|shapes
japanese-yen-square,monetization|marketing|finance|financial|markets|exchange|trader|trading|transaction|payment|jpy|toolbar|button,currency|money|shapes
jar,pot|container|storage|jam|preserve|conserve|honey|marmalade|sweet|sugar|diet|inkwell|glass|kitchenware,food-beverage|text
jug,coffee_pot|roast|ground|blend|arabica|filter|cafe|hot|drink|barista|fresh|juice|pour|glass,food-beverage
kebab,shish|skewer|meat|fast_food|junk_food|snack|meal|savory|savoury|cookery|cooking|grilled|barbecue|barbeque|bbq,food-beverage
kettle-electric,heat|boiling|water|steam|drink|tea|coffee|kitchen|appliances,food-beverage|home|devices
kettle,heat|boiling|water|steam|whistle|drink|tea|coffee|kitchen|appliances,food-beverage|home|devices
kiwi,citrus|orange|grapefruit|lemon|lime|segments|juice|squeeze|smoothie|tropical|sweet|snack|meal|lunch|eating|healthy|nutrition|diet|fruit_machine|slots|gambling|jackpot,food-beverage|gaming
layout-grid-move-horizontal,apps|applications|sorting|ascending|descending|reorder|rearrange|up|down|drag|view,design|layout|tools|arrows
layout-grid-move-vertical,apps|applications|sorting|ascending|descending|reorder|rearrange|up|down|drag|view,design|layout|tools|arrows
layout-grid-plus,apps|applications|add|collection,design|layout|tools
layout-list-move,todo|tasks|items|pending|ascending|descending|sorting|reorder|rearrange|up|down|drag|view,design|layout|text|tools|arrows
lemon,citrus|lime|juice|squeezy|squeeze|smoothie|bitter|sweet|ingredient|cooking|cookery|kitchen|cuisine|eating|healthy|nutrition|diet|fruit_machine|slots|gambling|jackpot,food-beverage|gaming
life-jacket,vest|buoyant|buoyancy|lifeguard|coastguard|sea|ocean|baywatch|beach|help|rescue|inflatable|safety|equipment|emergency,accessibility|medical
ligature-square,toolbar|button|formatting|styling|typography|fonts|font_book|collection|slab_serif|writing|writer|prose|content|alternates|alternatives|variants|variations|fi,text|tools|design|shapes
light-switch,on|off|electricity|electronics|lights|toggle|binary|boolean|power|outlet|plug,devices|connectivity
lingerie,brassiere|breasts|boobs|bottoms|tops|knickers|womens|girls|female|ladies|underwear|swimwear|beachwear|bathing_constume|summer_holiday|night|evening|elegant|sexy|store|clothing|clothes|apparel|attire|fashion|thread|cotton|lace|fitted,shopping|social|travel
locate-square,gps|location|crosshair|inspector|element|selector|target|box|browser|dom|node|aim|target|scope|sight|reticule,navigation|maps|development|tools|cursors|gaming
luggage-cabin,baggage|suitcase|wheels|packing|sotrage,travel|transportation
lunch-box,trunk|toolbox|chest|storage|container|snack|meal|brunch,tools|food-beverage
mailbox-flag,post|inbox|emails|messages|letters|mailing_list|newsletter,mail
